InputSize,DPTime(ms)
10,0
20,1
30,2
40,4
50,6
60,9
70,12
80,16
90,21
100,26
110,31
120,39
130,45
140,52
150,62
160,68
170,78
180,86
190,98
200,108
210,120
220,145
230,146
240,169
250,182
260,191
270,212
280,225
290,243
300,259
310,280
320,299
330,325
340,343
350,369
360,391
370,413
380,445
390,464
400,491
410,516
420,545
430,576
440,608
450,641
460,673
470,708
480,742
490,780
500,810
510,921
520,1621
530,1164
540,1008
550,1042
560,1123
570,1144
580,1202
590,1230
600,1301
610,1298
620,1349
630,1396
640,1453
650,1503
660,1585
670,1615
680,1671
690,1739
700,1795
710,1858
720,1918
730,1989
740,2041
750,2147
760,2192
770,2250
780,2310
790,2388
800,2486
810,2553
820,2603
830,2683
840,2768
850,2853
860,2919
870,3018
880,3102
890,3181
900,3276
910,3358
920,3425
930,3524
940,3620
950,3804
960,3809
970,3925
980,4054
990,4088
1000,4271